Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Sole Mate","Seal Cove > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/106010408/sole-mate,3.3,-1,Sport,5.10b,1,,49.6369,-123.2149
"Orange Peel","The Point Butress(Main Wall) > Castle Rock > Tennessee",https://www.mountainproject.com/route/108614112/orange-peel,3.1,-1,Sport,5.10a/b,1,70,35.10392,-85.63142
Hinterlander,"South-Facing Wall > The Hinterlands > Wasatch Range > Utah",https://www.mountainproject.com/route/110137579/hinterlander,3.2,-1,Sport,5.9,1,60,40.27488,-111.62795
"Recovery Room","The Infirmary > Miller Fork Recreational Preserve (MFRP) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/110400293/recovery-room,2.9,-1,Sport,5.10b,1,60,37.64193,-83.68332
"No Sleep Til' Campton","What About Bob Wall > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/107132484/no-sleep-til-campton,3.3,-1,Sport,5.10b/c,1,80,37.65103,-83.71482
"Lillian's Arete","Squeeze Ledge > North Clear Creek > Obed & Clear Creek > Tennessee",https://www.mountainproject.com/route/107789796/lillians-arete,3.3,-1,Sport,5.8,1,65,36.09595,-84.70764
Honeybadger,"Potter Mountain Cliff > Silver Lake > K: Northern Region > Adirondacks > New York",https://www.mountainproject.com/route/107708237/honeybadger,3.7,-1,Sport,5.10a,1,90,44.5173,-73.7984
"Jet Stream","Bulo Point > Mt. Hood > Oregon",https://www.mountainproject.com/route/106192676/jet-stream,3.0,-1,Sport,5.10a,1,80,45.37316,-121.47449
"Plum Line","(b) Plum Wall > (a) The Fortress > Skaha > Okanagan > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/106219155/plum-line,3.1,-1,Sport,"5.9 PG13",1,115,49.43577,-119.56764
"Heel Higher Crescent","Millennium Wall > Frenchman Coulee, AKA Vantage > Central Region > Washington",https://www.mountainproject.com/route/106681341/heel-higher-crescent,3.1,-1,Sport,5.10a,1,50,47.02377,-119.97867
"Relax and Stem","Starter Crag > Mount Charleston > Southern Nevada > Nevada",https://www.mountainproject.com/route/111921258/relax-and-stem,3.1,-1,Sport,5.8,1,50,36.276,-115.5908
"Malice In Bucketland","Central Wall > North Mountain > Hueco Tanks > Texas",https://www.mountainproject.com/route/106044163/malice-in-bucketland,3.4,-1,Sport,5.9-,1,125,31.92218,-106.04789
"Culo De Merlin","Tecolote Cave > El Salto > Nuevo Leon > Northern Mexico > Mexico > North America > International",https://www.mountainproject.com/route/106345224/culo-de-merlin,3.6,-1,Sport,5.10-,1,80,25.39579,-100.24296
"Straight Outta Lockmont","Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/107829637/straight-outta-lockmont,2.9,-1,Sport,5.9,1,70,38.2338,-80.8552
"Over The Counter","Shiprock > Pictured Rocks > Iowa",https://www.mountainproject.com/route/106087965/over-the-counter,2.9,-1,Sport,"5.9 PG13",1,75,42.21218,-91.10261
"La Temperatura de Shelf","Cactus Cliff > Shelf Road > Canon City > Colorado",https://www.mountainproject.com/route/105759687/la-temperatura-de-shelf,2.9,-1,Sport,5.10b,1,75,38.63213,-105.22238
"Ladybugs and Gentlemen","Echo Dome > Charon's Gardens > Wichita Mountains Wildlife Refuge > Oklahoma",https://www.mountainproject.com/route/105914650/ladybugs-and-gentlemen,2.9,-1,Sport,5.9+,1,,34.72599,-98.73486
"Mild Hops","Piedra River -  Lower West > Piedra River > Pagosa Springs > Colorado",https://www.mountainproject.com/route/107218088/mild-hops,3.4,-1,Sport,5.10,1,65,37.4197,-107.1968
"Don't Stahl","Middle Marker Area > Marker > Magna Carta > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/105951178/dont-stahl,3.5,-1,Sport,5.10a,1,80,43.88242,-103.46227
Shipwrecked,"Impact Zone > Main Wall > Franklin Gorge > West Virginia",https://www.mountainproject.com/route/107560400/shipwrecked,3.1,-1,Sport,5.9,1,75,38.66516,-79.32026
Peterbilt,"Road Kill Wall > Maple Canyon Road > Maple Canyon > Utah",https://www.mountainproject.com/route/108370948/peterbilt,3.0,-1,Sport,5.7,1,100,39.5566,-111.6855
"Killer Bob","Peannacle Wall > Bob's > Exit 38: Mt Washington > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/106589449/killer-bob,2.9,-1,Sport,5.9,1,,47.43779,-121.68178
"Buddha's Belly","Buddha's Belly Wall > Hartman Rocks > Gunnison > Colorado",https://www.mountainproject.com/route/105757453/buddhas-belly,3.0,-1,"Sport, TR",5.10a/b,1,40,38.49888,-106.94812
"Ticks ripped my flesh","Lyme Disease Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/106321707/ticks-ripped-my-flesh,2.9,-1,Sport,5.10b,1,50,37.22673,-122.09199
"Amazon Woman","South America > Quartz Mountain > Oklahoma",https://www.mountainproject.com/route/105887995/amazon-woman,3.8,-1,Sport,5.10a/b,1,130,34.8913,-99.3014
"Road Hog","Mr. Magoo Rock > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/106031324/road-hog,3.0,-1,Sport,5.10a,1,,36.0055,-93.2861
Tijerina,"(L2) Hopper's Hangover Wall > Utopian Vistas > Taos Area > New Mexico",https://www.mountainproject.com/route/105965809/tijerina,3.4,-1,Sport,5.9,1,90,36.3671,-105.7276
"Bit By The Bit","Main Wall > Little River Wall > El Rito > New Mexico",https://www.mountainproject.com/route/109281737/bit-by-the-bit,3.4,-1,Sport,5.10a,1,95,36.38903,-106.23454
"Sonic Boom","Trundle Dome > Lower Icicle Canyon > Icicle Creek > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/106605458/sonic-boom,3.0,-1,"Trad, Sport, TR",5.10-,1,75,47.548,-120.696
Archangel,"A. Royal Arches Wall > C. North Falls > *Jackson Falls > Illinois",https://www.mountainproject.com/route/106243179/archangel,3.2,-1,Sport,5.10a,1,,37.5056,-88.68207
"Monkey Dance","Limbo Area > Mission Gorge > South SD > San Diego > California",https://www.mountainproject.com/route/105894367/monkey-dance,2.9,-1,Sport,5.10b,1,40,32.8255,-117.051
"I'm Lichen It","3. Second Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/113785114/im-lichen-it,3.6,-1,Sport,5.7,1,100,38.14295,-80.91755
"Call Me Maybe","The Record Shop > Miller Fork Recreational Preserve (MFRP) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/110620474/call-me-maybe,3.5,-1,Sport,5.10a,1,80,37.64753,-83.68238
"Class Act","Grotto Right (West Side) > The Grotto (a.k.a. The Notch) > Diablo Canyon > Santa Fe Area > New Mexico",https://www.mountainproject.com/route/105803898/class-act,2.9,-1,Sport,5.10a/b,1,,35.80532,-106.14347
"Chocolate Pocket","The Chocolate Block (aka Rocky Top) > Monument Slot (aka Gunga Din) > Alabama Hills > Lone Pine Area > Sierra Eastside > California",https://www.mountainproject.com/route/110840263/chocolate-pocket,3.4,-1,Sport,5.9+,1,145,36.58454,-118.11301
"Imitation Strawberry","Main Wall > Little River Wall > El Rito > New Mexico",https://www.mountainproject.com/route/109281950/imitation-strawberry,2.9,-1,Sport,5.9,1,90,36.38903,-106.23454
"Riverboat Gambler","Above Anthrax > Necedah (Petenwell Bluff) > Wisconsin",https://www.mountainproject.com/route/106814217/riverboat-gambler,3.3,-1,Sport,5.10a,1,70,44.04601,-90.02047
"Free Refills","The Pharmacy > Cave Springs > Oak Creek Canyon > Northern Arizona > Arizona",https://www.mountainproject.com/route/106178332/free-refills,3.3,-1,Sport,5.10-,1,90,35.00026,-111.74235
"No Recess","Red Rock Wall > Big Cottonwood Canyon > Wasatch Range > Utah",https://www.mountainproject.com/route/106062161/no-recess,3.2,-1,Sport,5.10a,1,150,40.65369,-111.6527
"Crucial Taunt","Easy Bake Alcove > Las Conchas > Jemez Mountains and Jemez Valley > New Mexico",https://www.mountainproject.com/route/108769430/crucial-taunt,3.1,-1,Sport,5.9,1,60,35.82217,-106.54039
"Master Blaster","East Face aka Clairabell Mine Wall > Monitor Rock > Independence Pass > Colorado",https://www.mountainproject.com/route/105972021/master-blaster,2.8,-1,Sport,5.10b,1,80,39.0726,-106.4513
"Blind Black Babies","Practice Rock > Hyalite Canyon > Southwest Region > Montana",https://www.mountainproject.com/route/106255818/blind-black-babies,2.9,-1,"Trad, Sport",5.9,1,75,45.55519,-111.06181
"Gracias Mi Amor","Upper Virgin > Virgin Canyon > El Potrero Chico > Nuevo Leon > Northern Mexico > Mexico > North America > International",https://www.mountainproject.com/route/108714782/gracias-mi-amor,2.8,-1,Sport,5.7,1,110,25.94968,-100.47854
"Nickel And Dime","Ball Field Slabs > South Buttress > West Rock State Park > Western Coastal Slope > Connecticut",https://www.mountainproject.com/route/108375797/nickel-and-dime,3.2,-1,Sport,5.9,1,,41.3318,-72.95987
"It's a Wonderful Life","Pistol Ridge > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106371748/its-a-wonderful-life,3.0,-1,Sport,"5.9+ PG13",1,80,37.86342,-83.67403
"Lichen Worms","Middle Hawksbill > Hawksbill Mtn > Linville Gorge > North Carolina",https://www.mountainproject.com/route/107614682/lichen-worms,3.1,-1,"Trad, Sport",5.8+,1,100,35.91263,-81.88769
Humbolt,"Left End > Early Wall > Diablo Canyon > Santa Fe Area > New Mexico",https://www.mountainproject.com/route/106049111/humbolt,3.2,-1,Sport,5.10a,1,70,35.80501,-106.14174
"Seven Bolts for Betty","Mushroom Wall > Grandad's Bluff > Wisconsin",https://www.mountainproject.com/route/105794728/seven-bolts-for-betty,3.1,-1,"Sport, TR",5.10a,1,,43.81217,-91.20764
"Two-Tone Arete","6) Thieves Area > Fern Buttress > New River Gorge Proper > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106179925/two-tone-arete,3.2,-1,Sport,5.10b,1,65,38.06239,-81.06757
Festus,"South Wall > Big Chief Area > Truckee River Canyon > Lake Tahoe > California",https://www.mountainproject.com/route/107334413/festus,3.2,-1,Sport,5.10a,1,70,39.24416,-120.20261
"Public Enemy","Outhouse Wall > The Back of The Lake > Lake Louise > Banff National Park > Alberta > Canada > North America > International",https://www.mountainproject.com/route/108226547/public-enemy,3.2,-1,Sport,5.10a,1,80,51.4076,-116.2405
"Spear of Destiny","Utopia > River Road > Moab Area > Utah",https://www.mountainproject.com/route/107619348/spear-of-destiny,3.6,-1,Sport,"5.9 PG13",1,90,38.65173,-109.49642
Borderline,"Patina Wall > Valley of the Moon > South SD > San Diego > California",https://www.mountainproject.com/route/105946841/borderline,3.5,-1,Sport,5.10a,1,90,32.62245,-116.07221
"Director's Cut","Big Tower > Lower Gorge > Owens River Gorge > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/111665570/directors-cut,3.3,-1,Sport,5.10a,1,80,37.502,-118.56771
"Pee Green","Amateur Route Area > Jamestown Crag > Arkansas",https://www.mountainproject.com/route/106408018/pee-green,3.5,-1,Sport,5.9,1,50,35.6604,-91.7539
"Peg Leg","Shipwreck Wall > Salt Point State Park > Wine Country > San Francisco Bay Area > California",https://www.mountainproject.com/route/105735395/peg-leg,3.2,-1,"Sport, TR",5.10a,1,50,38.59566,-123.34933
"Analog or Digital","Transmitter Tower > Buena Vista > Colorado",https://www.mountainproject.com/route/105854273/analog-or-digital,2.9,-1,Sport,5.10b/c,1,65,38.88771,-106.1382
Wheaties,"Eagle Bluff > Clifton Crags > Maine",https://www.mountainproject.com/route/106411368/wheaties,3.4,-1,Sport,5.10a,1,100,44.79328,-68.49641
"Black Sheets of Rain","Big Black Face > Sunshine > Spearfish Canyon > South Dakota",https://www.mountainproject.com/route/106642398/black-sheets-of-rain,3.1,-1,Sport,5.10a,1,100,44.29596,-103.89038
"I Yam","Area 13 - Left Side > Area 13 > Clark Canyon > Mammoth Lakes Area > Sierra Eastside > California",https://www.mountainproject.com/route/108299287/i-yam,3.1,-1,Sport,"5.9+ PG13",1,100,37.78854,-118.91226
"Ghengis Bond","The Keep > Railay East > Laem Phra Nang (Railay & Tonsai) > South - Islands & Beaches > Thailand > Asia > International",https://www.mountainproject.com/route/105925348/ghengis-bond,3.4,-1,Sport,5.10,1,100,8.0078,98.841
"Xeno Dance","Corpse Wall > Santa Monica Mountains > Los Angeles Basin > California",https://www.mountainproject.com/route/107103512/xeno-dance,2.9,-1,Sport,5.9,1,60,34.07931,-118.65874
"Waiting For Columbus","Third Flatiron > North > Flatirons > Boulder > Colorado",https://www.mountainproject.com/route/105763728/waiting-for-columbus,3.6,-1,"Trad, Sport",5.10,1,180,39.9874,-105.29199
"Black Mouse Speaks","Rodent Ranch > Logan > Wasatch Range > Utah",https://www.mountainproject.com/route/106593862/black-mouse-speaks,2.9,-1,Sport,5.10a,1,,41.80592,-111.63168
Lunatic,"The Galaxy > Moonlight Ridge > Custer State Park > South Dakota",https://www.mountainproject.com/route/105991206/lunatic,3.5,-1,Sport,5.10b,1,60,43.84331,-103.54343
Solstice,"(5) The Leaning Tower Area > Klinger Spring > Mt. Hood > Oregon",https://www.mountainproject.com/route/109610883/solstice,3.1,-1,Sport,5.10b,1,90,45.40863,-121.56855
"Three Star Salad Bar","Salad Bar > Denny East > Denny Cove > Tennessee",https://www.mountainproject.com/route/112813663/three-star-salad-bar,3.6,-1,Sport,5.9+,1,85,35.1488,-85.6903
Bonsaï,"03 - Bonsai > L'Amphitheatre > Saint-Andre-de-Kamouraska > Bas-Saint-Laurent > Quebec > Canada > North America > International",https://www.mountainproject.com/route/107704756/bonsai,3.1,-1,Sport,5.8,1,40,47.65204,-69.74531
"MoMo Buttress","The Ravens > 8 - Summit Crags > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona",https://www.mountainproject.com/route/105844368/momo-buttress,3.0,-1,Sport,5.9+,1,140,32.4334,-110.7971
Skyscraper,"The Rooftop > Crazy Horse *TEMPORARILY CLOSED* > Northwest - Around Chiang Mai > Thailand > Asia > International",https://www.mountainproject.com/route/107070097/skyscraper,3.5,-1,Sport,5.10b,1,,18.75,99.22999
"Death Of a Raven","(2) Brogan Spire > (x) The Marsupials > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/108424150/death-of-a-raven,3.1,-1,Sport,5.8,1,,44.36826,-121.12385
"The Engagement","Dire Spire > Emancipation > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/108084203/the-engagement,3.8,-1,Sport,5.10,1,110,43.88032,-103.4617
Evolution,"The Rock of Ages > Pine Canyon > Mount Diablo State Park > San Francisco Bay Area > California",https://www.mountainproject.com/route/105872202/evolution,3.1,-1,Sport,5.10b,1,155,37.88057,-121.98549
Springbank,"Highlands Wall > Crystal Crag > Mammoth Lakes Area > Sierra Eastside > California",https://www.mountainproject.com/route/105990195/springbank,3.4,-1,Sport,5.10a,1,90,37.5925,-119.0138
Plinko,"After 5 Crag > Dry Wall > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/108168278/plinko,3.2,-1,Sport,5.10a,1,70,44.0975,-107.2913
"American Life","Primal Wall Area > Horsethief Lake Area > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/107933294/american-life,3.7,-1,Sport,5.9-,1,155,43.8996,-103.4732
"Slippery When Wet","Clear Creek Crag > MRG Southeast (aka Darkside) > Mad River Gorge & Nature Preserve > Southwest Ohio > Ohio",https://www.mountainproject.com/route/113109467/slippery-when-wet,3.3,-1,Sport,5.10a,1,40,39.91546,-83.86007
Tsunami,"Shipyard Rock > South Seas > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/105715787/tsunami,3.0,-1,Sport,5.9,1,70,43.8864,-103.46677
Bananarête,"North Face > Crystal Wall > Poudre Canyon > Fort Collins > Colorado",https://www.mountainproject.com/route/107219523/bananarete,2.8,-1,Sport,5.9+,1,75,40.6936,-105.37656
"Gold Rush/High Noon","Wild, Wild Western Pinnacles (aka Orange Rocks) > Bishop Peak > San Luis Obispo > Central Coast > California",https://www.mountainproject.com/route/105737405/gold-rushhigh-noon,3.3,-1,"Sport, TR",5.10b,1,40,35.29986,-120.69293
"Beat the Burn","Mokule'ia Wall > Oahu > Hawaii",https://www.mountainproject.com/route/106639787/beat-the-burn,2.9,-1,Sport,5.9+,1,70,21.57413,-158.23013
"Sunset Arete","Twilight Buttress > Big Willow Canyon > Wasatch Range > Utah",https://www.mountainproject.com/route/105850631/sunset-arete,3.5,-1,Sport,5.10b,1,60,40.53601,-111.80204
"Window Pain","Central Wall > North Mountain > Hueco Tanks > Texas",https://www.mountainproject.com/route/106044731/window-pain,3.7,-1,Sport,5.10,1,150,31.92218,-106.04789
"Of Quartz It Goes","Far Downs > Middle Earth > Sylvan Lake > Custer State Park > South Dakota",https://www.mountainproject.com/route/106538513/of-quartz-it-goes,3.5,-1,Sport,5.7,1,125,43.8478,-103.5717
"Plague of Flies","Exploding Energy Boulder > Promontory > Redwood Coast > California",https://www.mountainproject.com/route/109969736/plague-of-flies,3.7,-1,Sport,5.9,1,60,41.60628,-124.10492
"RCM (Redneck Cracker Motherf*ckers)","Hangin' Tree > Western Wall Area > Alabama Hills > Lone Pine Area > Sierra Eastside > California",https://www.mountainproject.com/route/106467289/rcm-redneck-cracker-motherfckers,3.5,-1,Sport,5.10b,1,70,36.60642,-118.13224
"Static Cling","Lightning Bolt > Chopping Block > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/108771010/static-cling,3.5,-1,Sport,5.10b/c,1,70,43.8856,-103.4696
"Bombs over Crag Bag","Scud Wall > Sinks Canyon > Lander Area > Wyoming",https://www.mountainproject.com/route/109876523/bombs-over-crag-bag,2.9,-1,Sport,5.10b,1,80,42.74191,-108.83072
"Feelin' All Right","The Island > Cody > Wyoming",https://www.mountainproject.com/route/106158029/feelin-all-right,3.3,-1,"Sport, Alpine",5.8,1,80,44.50815,-109.17734
"Winter Harvest","Reeds Creek > West Virginia",https://www.mountainproject.com/route/110620729/winter-harvest,3.6,-1,Sport,5.8,1,90,38.78496,-79.2901
Reddi-Wip,"(C) Reddi-Wip Area > Rough and Ready Hills > Las Cruces Area Climbing > New Mexico",https://www.mountainproject.com/route/106379912/reddi-wip,3.1,-1,Sport,5.10b,1,55,32.39492,-107.03712
"Escher's Staircase","Gollum's Cave > Grottos Day Use Area > Independence Pass > Colorado",https://www.mountainproject.com/route/106255096/eschers-staircase,3.0,-1,Sport,5.10b,1,45,39.11913,-106.70247
"Busted By Dewey","Main Wall > Little River Wall > El Rito > New Mexico",https://www.mountainproject.com/route/109281862/busted-by-dewey,3.4,-1,Sport,5.10b,1,90,36.38903,-106.23454
"Red Faced Lizard","Crankenstein Boulder-Meat Walls > Cave Creek > Sam's Throne & Surroundings > Arkansas",https://www.mountainproject.com/route/111001976/red-faced-lizard,3.4,-1,Sport,5.9,1,50,35.84204,-93.05529
"Hrum Hroom","Fanghorn Hills > Middle Earth > Sylvan Lake > Custer State Park > South Dakota",https://www.mountainproject.com/route/105714797/hrum-hroom,3.2,-1,Sport,5.7,1,60,43.8478,-103.5717
"Unknown But Worth Doing","The Dark Side > Shelf Road > Canon City > Colorado",https://www.mountainproject.com/route/111811837/unknown-but-worth-doing,3.0,-1,Sport,5.10b/c,1,60,38.6281,-105.2239
"Ignominious Demise","Industrial Wall > Coalpit Gulch > Little Cottonwood Canyon > Wasatch Range > Utah",https://www.mountainproject.com/route/105844890/ignominious-demise,3.0,-1,Sport,5.10b,1,70,40.567,-111.73761
"Morning Glory","Windy Cave > Crazy Horse *TEMPORARILY CLOSED* > Northwest - Around Chiang Mai > Thailand > Asia > International",https://www.mountainproject.com/route/106584878/morning-glory,3.5,-1,Sport,5.10a,1,100,18.75,99.22999
Overhanger,"VD (Very Direct) Wall > South Area > Devil's Punchbowl > High Desert > California",https://www.mountainproject.com/route/106407336/overhanger,3.3,-1,Sport,5.9,1,90,34.412,-117.8573
"Marsha Gets Creamed","Bradyism Wall > Big Picture Gully > Spearfish Canyon > South Dakota",https://www.mountainproject.com/route/109045434/marsha-gets-creamed,3.4,-1,Sport,5.10a,1,80,44.31726,-103.90147
"The Good, the Bad, and the Ugly","Crag Full of Dynamite > Santa Barbara > Central Coast > California",https://www.mountainproject.com/route/105816707/the-good-the-bad-and-the-ugly,2.8,-1,Sport,5.9,1,70,34.4786,-119.6029
"Aaron's Hot Venom Injection Arete","Cobrazone > Bald Mountain > Uinta Mountains > Utah",https://www.mountainproject.com/route/111098390/aarons-hot-venom-injection-arete,3.6,-1,"Sport, Alpine",5.9+,1,100,40.6993,-110.90342
"Lucifer's Revenge","Right Side Cliff > Yellow Bluff > Alabama",https://www.mountainproject.com/route/108685434/lucifers-revenge,3.1,-1,Sport,5.9,1,,34.4353,-86.6746
"Pabst Smear","West Car Body Canyon > Black Cliffs > West Idaho > Idaho",https://www.mountainproject.com/route/107116440/pabst-smear,3.6,-1,"Trad, Sport",5.10b,1,60,43.53485,-116.08234
"Willy Wonka","Candy Mountain > Sam's Throne & Surroundings > Arkansas",https://www.mountainproject.com/route/110489734/willy-wonka,3.2,-1,Sport,5.10b,1,55,35.8447,-93.0459
"Ego Tripping","I. Railroad Rock > A. North Canyon > *Jackson Falls > Illinois",https://www.mountainproject.com/route/106931729/ego-tripping,2.8,-1,Sport,5.10b,1,65,37.50881,-88.69216
"Rattlesnake Shake","Gaudi Park > Valhalla > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/106239714/rattlesnake-shake,2.9,-1,Sport,5.9+,1,100,44.14043,-107.2577
"Cranium Crack","Indecent Exposure > Blue Sky > Spearfish Canyon > South Dakota",https://www.mountainproject.com/route/107118108/cranium-crack,2.9,-1,Sport,5.9,1,,44.35135,-103.90765
"No Nuts","Nuts and Bolts > Ogden Canyon > Ogden > Wasatch Range > Utah",https://www.mountainproject.com/route/106179082/no-nuts,3.0,-1,Sport,5.10a,1,90,41.23626,-111.91752
"Hot  Pockets","Goatland Wall > East Hellgate > Hellgate Cliffs > Little Cottonwood Canyon > Wasatch Range > Utah",https://www.mountainproject.com/route/106020349/hot-pockets,2.9,-1,Sport,5.10b,1,75,40.59033,-111.64526
Colorfest,"Garden of Eden Wall (Pool Area) > Cascade Canyon > Durango > Colorado",https://www.mountainproject.com/route/105829520/colorfest,2.9,-1,Sport,5.10b,1,75,37.65774,-107.80962
"Sweat Lodge","Last Stand Wall > Ruth Lake > Uinta Mountains > Utah",https://www.mountainproject.com/route/106500340/sweat-lodge,2.9,-1,Sport,5.10b,1,50,40.73076,-110.87897
"The Natural","Frat Boy Wall > Bozeman Pass > Southwest Region > Montana",https://www.mountainproject.com/route/107666989/the-natural,3.0,-1,Sport,5.10b,1,55,45.64215,-110.90618
"Paradise Lost","Red Devil > Central > Flatirons > Boulder > Colorado",https://www.mountainproject.com/route/105999884/paradise-lost,2.9,-1,Sport,5.9,1,100,39.9749,-105.289
"A Man Can Tell 1,000 Lies","Wee's Present > Railay West > Laem Phra Nang (Railay & Tonsai) > South - Islands & Beaches > Thailand > Asia > International",https://www.mountainproject.com/route/106094799/a-man-can-tell-1000-lies,2.9,-1,Sport,5.10a,1,50,8.0104,98.8378
"Job 3:25","Chickenhead Wall > East Main Bluff > Sam's Throne > Sam's Throne & Surroundings > Arkansas",https://www.mountainproject.com/route/106145431/job-325,3.3,-1,Sport,5.10b/c,1,80,35.8727,-93.04975
"Rivers Edge","Narrows - South > South Willow Canyon - Narrows > Stansbury Mountains > West Desert > Utah",https://www.mountainproject.com/route/105792179/rivers-edge,2.8,-1,Sport,5.10b,1,,40.49128,-112.59538
"Joy in the Garden","Left Wall > Ghost Kitchen > Kalymnos > Greece > Europe > International",https://www.mountainproject.com/route/107185362/joy-in-the-garden,3.3,-1,Sport,5.10b,1,80,37.0305,26.95796
"Hucky Sucky 5.10 Bucky","The VC > Rapid City Area > South Dakota",https://www.mountainproject.com/route/108301230/hucky-sucky-510-bucky,3.6,-1,Sport,5.10b,1,80,44.03983,-103.33312
"Canadian Hand Job","Tomato Wall > Far End > Sunshine Wall > Frenchman Coulee, AKA Vantage > Central Region > Washington",https://www.mountainproject.com/route/107566123/canadian-hand-job,2.8,-1,Sport,5.10a,1,60,47.0231,-119.97493
"Insecurity Never Wins","Cougar Crag East > Cougar Crag > North SD > San Diego > California",https://www.mountainproject.com/route/108015808/insecurity-never-wins,2.9,-1,Sport,5.10a,1,55,33.34171,-117.13773
"5.9 Crack","Greg's Cliff > Ptarmigan Creek Area > Independence Pass > Colorado",https://www.mountainproject.com/route/106790629/59-crack,2.8,-1,Sport,5.10b,1,40,39.12609,-106.68079
"Unkown Chimney","Eagle Lake Cliff > Eagle Creek Canyon > West Shore > Lake Tahoe > California",https://www.mountainproject.com/route/107252668/unkown-chimney,3.0,-1,Sport,5.8,1,80,38.93997,-120.12315
Aqualung,"Impact Zone > Main Wall > Franklin Gorge > West Virginia",https://www.mountainproject.com/route/107834016/aqualung,3.0,-1,Sport,5.10a,1,65,38.66516,-79.32026
"La Renversee","08 - La renversée > L'Amphitheatre > Saint-Andre-de-Kamouraska > Bas-Saint-Laurent > Quebec > Canada > North America > International",https://www.mountainproject.com/route/109191335/la-renversee,3.6,-1,Sport,5.9,1,,47.65204,-69.74531
"Left Wing of Smaug","Far Downs > Middle Earth > Sylvan Lake > Custer State Park > South Dakota",https://www.mountainproject.com/route/107775061/left-wing-of-smaug,3.5,-1,"Trad, Sport",5.8,1,140,43.8478,-103.5717
Badassitude,"Triple Play Cliff > Upper Gorge > Owens River Gorge > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/109006293/badassitude,3.1,-1,Sport,5.8,1,100,37.52319,-118.57505
"Fun Employed","The Point Butress(Main Wall) > Castle Rock > Tennessee",https://www.mountainproject.com/route/111310248/fun-employed,3.1,-1,Sport,5.10b,1,85,35.10392,-85.63142
"Flake Fest","Trundle Dome > Lower Icicle Canyon > Icicle Creek > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/106562837/flake-fest,2.8,-1,"Trad, Sport, TR",5.9-,1,90,47.548,-120.696
"Wolf of the Deserts","Los Lobos Wall > Los Lobos Canyon > El Potrero Chico > Nuevo Leon > Northern Mexico > Mexico > North America > International",https://www.mountainproject.com/route/112187903/wolf-of-the-deserts,3.0,-1,Sport,5.10a,1,70,25.94968,-100.47518
"Emergency Snow Route","Pine Tree Rock > Chopping Block > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/105902187/emergency-snow-route,3.1,-1,Sport,5.10a,1,65,43.88486,-103.46835
"Mach 5","Redbud Canyon > Lime Kiln Canyon > The Arizona Strip > Northern Arizona > Arizona",https://www.mountainproject.com/route/111695768/mach-5,3.1,-1,Sport,5.10b,1,80,36.6573,-114.00503
"Happiness Is a Warm Drill","Old Quarry Walls > South Buttress > West Rock State Park > Western Coastal Slope > Connecticut",https://www.mountainproject.com/route/111870755/happiness-is-a-warm-drill,3.0,-1,Sport,5.9,1,100,41.33236,-72.95851
"This Ain't No Weenie Roast","Area 13 - Left Side > Area 13 > Clark Canyon > Mammoth Lakes Area > Sierra Eastside > California",https://www.mountainproject.com/route/105913199/this-aint-no-weenie-roast,2.8,-1,Sport,5.10b,1,80,37.78854,-118.91226
"Open Your Mouth and Say AAHHH!","Bradyism Wall > Big Picture Gully > Spearfish Canyon > South Dakota",https://www.mountainproject.com/route/107282800/open-your-mouth-and-say-aahhh,3.3,-1,Sport,5.10b,1,70,44.31726,-103.90147
